Date,Name,Description
2026-01-01,New Year's Day,Celebration of the first day of the calendar year.
2026-02-11,Youth Day,Commemorates the importance of youth in national development with school parades.
2026-03-20,Eid al-Fitr,Islamic holiday marking the end of Ramadan (Date tentative based on moon sighting).
2026-04-03,Good Friday,Christian observance of the crucifixion of Jesus Christ.
2026-04-06,Easter Monday,Christian holiday following Easter Sunday celebrating the resurrection.
2026-05-01,Labour Day,International Workers' Day celebrating the achievements of laborers.
2026-05-14,Ascension Day,Christian holiday marking Jesus Christ's ascension to heaven.
2026-05-20,National Day,Also called Unity Day; commemorates the 1972 referendum that created a unitary state.
2026-05-27,Eid al-Adha,Islamic Feast of Sacrifice (Date tentative based on moon sighting).
2026-08-15,Assumption Day,Christian feast commemorating the assumption of the Virgin Mary into heaven.
2026-08-25,The Prophet's Birthday,Celebration of the birth of the Islamic prophet Muhammad (Date tentative).
2026-10-01,Unification Day,Commemorates the unification of former British Southern Cameroons with French Cameroon.
2026-12-25,Christmas Day,Christian celebration of the birth of Jesus Christ.
